,Unnamed: 0,dao_id,proposal_id,bribe_function,private_ratio,noised_ratio,target_side,epsilon,w_max,W_total,num_voters,public_cost_abs,private_cost_abs,noised_cost_abs,min_swing_voters
79,79,balancer.eth,0x48fd8ebafa85165efbf84eb2034baef2f0102ae15d5855fadbed40f21356ef37,linear_weight,1.0,1.0,losing,9.25290394507566e-06,3156825.9611699875,3237613.068649979,54,,,,1
80,80,balancer.eth,0x48fd8ebafa85165efbf84eb2034baef2f0102ae15d5855fadbed40f21356ef37,whale_90,1.0,1.0,losing,9.25290394507566e-06,3156825.9611699875,3237613.068649979,54,,,,1
81,81,balancer.eth,0x48fd8ebafa85165efbf84eb2034baef2f0102ae15d5855fadbed40f21356ef37,whale_99,1.0,1.0,losing,9.25290394507566e-06,3156825.9611699875,3237613.068649979,54,,,,1
82,82,balancer.eth,0x48fd8ebafa85165efbf84eb2034baef2f0102ae15d5855fadbed40f21356ef37,log_whale_99,1.0,1.0,losing,9.25290394507566e-06,3156825.9611699875,3237613.068649979,54,,,,1
83,83,balancer.eth,0x48fd8ebafa85165efbf84eb2034baef2f0102ae15d5855fadbed40f21356ef37,top_10,1.0,1.0,losing,9.25290394507566e-06,3156825.9611699875,3237613.068649979,54,,,,1
84,84,balancer.eth,0xa6c07f3bb8ece2d8fc278ff103c0af455cc69a4b671e203796a0ac90ce2d1d7f,top_mdc_log,1.0,1.0,losing,8.00432527266639e-06,3121339.087199778,3742641.8486314914,57,,,,1
85,85,balancer.eth,0xa6c07f3bb8ece2d8fc278ff103c0af455cc69a4b671e203796a0ac90ce2d1d7f,linear_weight,1.0,1.0,losing,8.00432527266639e-06,3121339.087199778,3742641.8486314914,57,,,,1
86,86,balancer.eth,0xa6c07f3bb8ece2d8fc278ff103c0af455cc69a4b671e203796a0ac90ce2d1d7f,whale_90,1.0,1.0,losing,8.00432527266639e-06,3121339.087199778,3742641.8486314914,57,,,,1
87,87,balancer.eth,0xa6c07f3bb8ece2d8fc278ff103c0af455cc69a4b671e203796a0ac90ce2d1d7f,whale_99,1.0,1.0,losing,8.00432527266639e-06,3121339.087199778,3742641.8486314914,57,,,,1
88,88,balancer.eth,0xa6c07f3bb8ece2d8fc278ff103c0af455cc69a4b671e203796a0ac90ce2d1d7f,log_whale_99,1.0,1.0,losing,8.00432527266639e-06,3121339.087199778,3742641.8486314914,57,,,,1
89,89,balancer.eth,0xa6c07f3bb8ece2d8fc278ff103c0af455cc69a4b671e203796a0ac90ce2d1d7f,top_10,1.0,1.0,losing,8.00432527266639e-06,3121339.087199778,3742641.8486314914,57,,,,1
90,90,balancer.eth,0x819da7fc945aa2a5a9cd47d06d6e9e47b0941d128de3a2ca04c69fc22304fc00,top_mdc_log,1.0,1.0,losing,8.505743776896613e-06,3143263.812175119,3522010.9518123847,69,,,,1
91,91,balancer.eth,0x819da7fc945aa2a5a9cd47d06d6e9e47b0941d128de3a2ca04c69fc22304fc00,linear_weight,1.0,1.0,losing,8.505743776896613e-06,3143263.812175119,3522010.9518123847,69,,,,1
92,92,balancer.eth,0x819da7fc945aa2a5a9cd47d06d6e9e47b0941d128de3a2ca04c69fc22304fc00,whale_90,1.0,1.0,losing,8.505743776896613e-06,3143263.812175119,3522010.9518123847,69,,,,1
93,93,balancer.eth,0x819da7fc945aa2a5a9cd47d06d6e9e47b0941d128de3a2ca04c69fc22304fc00,whale_99,1.0,1.0,losing,8.505743776896613e-06,3143263.812175119,3522010.9518123847,69,,,,1
94,94,balancer.eth,0x819da7fc945aa2a5a9cd47d06d6e9e47b0941d128de3a2ca04c69fc22304fc00,log_whale_99,1.0,1.0,losing,8.505743776896613e-06,3143263.812175119,3522010.9518123847,69,,,,1
95,95,balancer.eth,0x819da7fc945aa2a5a9cd47d06d6e9e47b0941d128de3a2ca04c69fc22304fc00,top_10,1.0,1.0,losing,8.505743776896613e-06,3143263.812175119,3522010.9518123847,69,,,,1
96,96,balancer.eth,0x3be9bbf38307d4de7cccb1e453b50d6f6f19c111b79e10fac20d7885e131590a,top_mdc_log,1.0,1.0,losing,1.1849242427800271e-05,2282437.300271709,2528205.7412594664,11,,,,1
97,97,balancer.eth,0x3be9bbf38307d4de7cccb1e453b50d6f6f19c111b79e10fac20d7885e131590a,linear_weight,1.0,1.0,losing,1.1849242427800271e-05,2282437.300271709,2528205.7412594664,11,,,,1
98,98,balancer.eth,0x3be9bbf38307d4de7cccb1e453b50d6f6f19c111b79e10fac20d7885e131590a,whale_90,1.0,1.0,losing,1.1849242427800271e-05,2282437.300271709,2528205.7412594664,11,,,,1
99,99,balancer.eth,0x3be9bbf38307d4de7cccb1e453b50d6f6f19c111b79e10fac20d7885e131590a,whale_99,1.0,1.0,losing,1.1849242427800271e-05,2282437.300271709,2528205.7412594664,11,,,,1
100,100,balancer.eth,0x3be9bbf38307d4de7cccb1e453b50d6f6f19c111b79e10fac20d7885e131590a,log_whale_99,1.0,1.0,losing,1.1849242427800271e-05,2282437.300271709,2528205.7412594664,11,,,,1
